,ATTENDANTS,ATTENDANTS.0,ATTENDANTS.0.1,ATTENDANTS.RICHMOND,Archbishop,BISHOPS,BishopOfEly,Blunt,Brakenbury,Brandon,Buckingham,CITIZENS,CITIZENS.0,CITIZENS.1,CITIZENS.2,CITIZENS.3,Cardinal,Catesby,Clarence,ClarencesBoy,ClarencesDaughter,Dorset,DuchessOfYork,EdwardIV,EdwardV,GENTLEMEN,GUARDS,Grey,Hastings,HenryVI,HenryVII,Herbert,Jailer,LadyAnne,Lovell,MESSENGERS.1,MESSENGERS.2,MESSENGERS.3,MESSENGERS.4,MESSENGERS.X.1,MESSENGERS.X.2,MESSENGERS.X.3,MURDERERS.1,MURDERERS.2,MayorOfLondon,Norfolk,Oxford,PrinceEdward,Pursuivant,QueenElizabeth,QueenMargaret,Ratcliffe,RichardIII,Rivers,SOLDIERS.RICHARD,SOLDIERS.RICHMOND,Scales,Scrivener,Sheriff,SirChristopher,SirJohn,Stanley,Surrey,Tyrrel,Vaughan,Woodeville,York
LadyAnne,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,0.0,0.0,244.0,244.0,0.0,0.0,244.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,220.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0
Lovell,203.0,319.0,44.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,212.0,0.0,123.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,80.0,0.0,0.0,0.0,0.0,0.0,319.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,17.0,0.0,0.0,0.0
MESSENGERS.1,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.2,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.3,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.4,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.1,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
MESSENGERS.X.2,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.X.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURDERERS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURDERERS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MayorOfLondon,135.0,386.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,380.0,193.0,21.0,0.0,0.0,0.0,101.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
Norfolk,80.0,185.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,11.0,63.0,0.0,105.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,11.0,11.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,179.0,141.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.0,0.0,0.0,0.0,0.0
Oxford,0.0,119.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,94.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,35.0,64.0,0.0,64.0,55.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
PrinceEdward,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pursuivant,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QueenElizabeth,314.0,554.0,0.0,0.0,80.0,0.0,0.0,0.0,17.0,0.0,510.0,0.0,554.0,0.0,0.0,0.0,0.0,319.0,0.0,116.0,226.0,706.0,502.0,137.0,0.0,0.0,0.0,480.0,485.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,137.0,752.0,596.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,137.0,80.0
QueenMargaret,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,120.0,0.0,0.0,0.0,0.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,209.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0
Ratcliffe,317.0,632.0,44.0,0.0,0.0,0.0,69.0,0.0,0.0,35.0,356.0,0.0,410.0,0.0,0.0,0.0,0.0,111.0,0.0,47.0,47.0,172.0,47.0,90.0,0.0,0.0,26.0,116.0,246.0,0.0,52.0,35.0,0.0,0.0,319.0,42.0,37.0,34.0,21.0,0.0,0.0,10.0,0.0,0.0,51.0,179.0,35.0,0.0,0.0,137.0,0.0,0.0,683.0,163.0,159.0,0.0,90.0,0.0,0.0,0.0,0.0,286.0,19.0,17.0,26.0,90.0,0.0
RichardIII,747.0,1439.0,44.0,0.0,0.0,154.0,35.0,0.0,78.0,64.0,1084.0,154.0,911.0,0.0,0.0,0.0,119.0,789.0,87.0,47.0,47.0,502.0,113.0,90.0,162.0,213.0,291.0,398.0,603.0,220.0,186.0,64.0,0.0,220.0,252.0,42.0,37.0,34.0,21.0,0.0,0.0,10.0,19.0,19.0,347.0,141.0,64.0,8.0,0.0,752.0,209.0,683.0,0.0,445.0,293.0,0.0,90.0,0.0,0.0,0.0,0.0,578.0,19.0,33.0,7.0,90.0,67.0
