,Baptista,Bianca,Biondello,Curtis,Gremio,Grumio,HUNTSMEN,Haberdasher,Hortensio,Hostess,Katherine,Lord,Lucentio,Merchant,Messenger,Officer,PLAYERS,Page,Petruchio,SERVANTS,SERVANTS.BAPTISTA,SERVANTS.BAPTISTA.1,SERVANTS.LORD,SERVANTS.LORD.0,SERVANTS.LORD.0.1,SERVANTS.PETRUCHIO,SERVANTS.PETRUCHIO.0.2,SERVANTS.PETRUCHIO.Joseph,SERVANTS.PETRUCHIO.Nathaniel,SERVANTS.PETRUCHIO.Nicholas,SERVANTS.PETRUCHIO.Peter,SERVANTS.PETRUCHIO.Phillip,Sly,Tailor,Tranio,Vincentio,Widow
SERVANTS.LORD.0,884.0,605.0,724.0,128.0,1109.0,988.0,0.0,25.0,1145.0,0.0,970.0,2487.0,1230.0,380.0,10.0,63.0,0.0,2487.0,1383.0,206.0,282.0,8.0,2487.0,0.0,0.0,260.0,952.0,34.0,43.0,34.0,74.0,34.0,2487.0,111.0,1317.0,389.0,125.0
SERVANTS.LORD.0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVANTS.PETRUCHIO,77.0,32.0,19.0,0.0,136.0,148.0,0.0,0.0,81.0,0.0,260.0,260.0,32.0,49.0,0.0,63.0,0.0,260.0,260.0,0.0,77.0,0.0,260.0,260.0,0.0,0.0,251.0,0.0,0.0,0.0,31.0,0.0,260.0,0.0,49.0,183.0,0.0
SERVANTS.PETRUCHIO.0.2,338.0,230.0,390.0,7.0,350.0,467.0,0.0,25.0,501.0,0.0,595.0,952.0,398.0,380.0,0.0,63.0,0.0,952.0,658.0,206.0,77.0,0.0,952.0,952.0,0.0,251.0,0.0,0.0,9.0,0.0,31.0,0.0,952.0,111.0,454.0,389.0,125.0
SERVANTS.PETRUCHIO.Joseph,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0
SERVANTS.PETRUCHIO.Nathaniel,0.0,0.0,0.0,41.0,0.0,43.0,0.0,0.0,0.0,0.0,21.0,43.0,0.0,0.0,0.0,0.0,0.0,43.0,21.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,9.0,34.0,0.0,34.0,43.0,34.0,43.0,0.0,0.0,0.0,0.0
SERVANTS.PETRUCHIO.Nicholas,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,34.0,34.0,0.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0
SERVANTS.PETRUCHIO.Peter,0.0,0.0,0.0,41.0,0.0,43.0,0.0,0.0,0.0,0.0,52.0,74.0,0.0,0.0,0.0,0.0,0.0,74.0,52.0,0.0,0.0,0.0,74.0,74.0,0.0,31.0,31.0,34.0,43.0,34.0,0.0,34.0,74.0,0.0,0.0,0.0,0.0
SERVANTS.PETRUCHIO.Phillip,0.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,34.0,34.0,34.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0
Sly,884.0,605.0,724.0,128.0,1109.0,988.0,61.0,25.0,1145.0,12.0,970.0,2648.0,1230.0,380.0,10.0,63.0,0.0,2487.0,1383.0,206.0,282.0,8.0,2648.0,2487.0,0.0,260.0,952.0,34.0,43.0,34.0,74.0,34.0,0.0,111.0,1317.0,389.0,125.0
Tailor,0.0,0.0,0.0,0.0,0.0,111.0,0.0,25.0,111.0,0.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,111.0,111.0,0.0,0.0,0.0,111.0,111.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0
Tranio,837.0,449.0,667.0,0.0,933.0,324.0,0.0,0.0,598.0,0.0,377.0,1317.0,988.0,380.0,0.0,19.0,0.0,1317.0,606.0,206.0,254.0,3.0,1317.0,1317.0,0.0,49.0,454.0,0.0,0.0,0.0,0.0,0.0,1317.0,0.0,0.0,255.0,125.0
Vincentio,282.0,154.0,219.0,0.0,337.0,238.0,0.0,0.0,258.0,0.0,313.0,389.0,235.0,255.0,0.0,46.0,0.0,389.0,387.0,206.0,76.0,0.0,389.0,389.0,0.0,183.0,389.0,0.0,0.0,0.0,0.0,0.0,389.0,0.0,255.0,0.0,125.0
Widow,125.0,125.0,125.0,0.0,125.0,50.0,0.0,0.0,125.0,0.0,123.0,125.0,125.0,125.0,0.0,0.0,0.0,125.0,123.0,125.0,0.0,0.0,125.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,125.0,125.0,0.0
